Country_code_A3;Name;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018
AUT;Austria;22509,1577311196;22695,579235341;22302,5491446671;22118,7345399714;21693,7448568329;21667,8461003483;21732,8330737205;21987,8049294543;22034,1263885253;21789,6392444659;21941,9333865799;20828,1213952414;21367,1339027182;21799,7849021992;21192,2831960744;20736,7854055618;20585,8831006611;20267,8582327382;20072,7776615356;19259,237380632;20126,9165340337;20308,5595074363;19766,8622298274;19926,5289234136;19930,2752906092;19867,0361304002;19927,1073455678;20047,9845279892;19732,1485350331
AZE;Azerbaijan;16847,429914091;15065,7515684158;14562,3361485496;12631,5840817265;11547,3501182237;11118,8997980325;10782,9219172623;10891,7536827888;10401,6091759655;10513,4056469985;11325,2519407928;11724,8770150023;12012,3564988257;12506,429096232;12867,55003126;13981,063276093;13839,752627527;15809,0455447339;17391,9112716438;17625,3078204134;17512,3152124982;17588,9326927702;18465,7603152882;18872,7694041993;19167,2368962868;19135,5794901313;19523,6592933818;19326,9233465474;19335,450997241
BDI;Burundi;7815,79535918925;7853,38081740266;7876,8795364027;7853,42857543652;7743,70287824441;7947,94374076459;7967,44369958226;8021,41483057096;7948,86762783336;7992,71705195254;8041,35927208481;6086,48331782562;6061,47565242532;6131,55675263052;6228,25039375158;6381,98516353565;6544,11299344147;6685,04477919297;6823,67226664941;7058,9732081719;7320,95039543462;7534,97637368585;7519,71056822344;7943,67851983443;7977,37693680825;8017,05942363695;8331,28559978806;8953,34029056628;9018,41817598029
BEL;Belgium;30144,4849843519;30339,0230914729;30625,2243446396;30502,6183686794;31979,3924622706;32616,1243797704;33485,4123125127;32511,5419543444;31870,3287329737;32147,5101390134;33104,846620453;31280,7058793482;30509,2589669711;31479,3764179823;31638,3712130259;30258,51832787;30795,3479370448;30685,5572511422;30877,4437448935;29833,1124683125;31423,7242659828;33622,5210465778;33361,1465571012;33058,5631092485;33294,0413456306;33684,4090337693;31066,5450595098;30967,0106612987;30962,3344386163
BEN;Benin;17935,7589913389;18060,5399379439;18139,0451678387;18180,2482542509;18466,4639481182;18244,4958028711;18938,9894565204;18930,1861057703;19371,7109466555;19398,2935917893;19692,6310423637;15213,414503226;15436,9484011657;15507,7765294111;15677,7984766196;16049,8344295255;16161,2142356628;16338,2677309387;16457,4289458223;16684,214526044;16800,5302571776;16977,0450623314;17097,9227498659;17419,3167716744;17429,8892644378;17618,3006601629;18033,598109527;18321,5921383288;18854,9326354311
BFA;Burkina Faso;17131,9444477996;17523,3736984634;17772,5331291515;18013,3835399565;18302,6871164548;18625,0747575744;18902,8439881753;19251,6848674508;19866,194559923;20014,172657373;20199,5135820189;20087,4765463398;20418,1894645241;23618,0499996439;24032,433641357;24608,542037456;25004,3309119989;25439,5259037489;26099,4164456401;26563,6127857108;27206,8776186148;26857,9591099922;27393,255950098;27942,965957233;28443,6613277873;29078,4196564164;29805,6809873306;30419,7542121541;30884,5241692259
BGD;Bangladesh;147194,445387315;145886,036889199;146123,2748481;144478,693526336;145239,878476185;147913,686702237;148333,831328308;148035,260378081;146086,133423479;150664,404544177;151151,468064109;153265,556406528;155512,820043576;157248,329889584;156680,098019618;160548,181929781;162654,557011839;164729,938613708;169958,43161934;171113,141208319;173793,52228324;177289,67099906;178196,14007576;178540,289707308;181206,720009081;183398,525299323;177879,839002722;184752,108614414;189117,521583428
BGR;Bulgaria;30438,6750990013;26927,0854659135;23904,8482080085;21190,9797559712;20818,738846899;20435,3058486977;20573,2628609336;19534,9487255757;18135,4901487017;17832,9963382051;18274,6345465113;19044,702350865;18396,8634657698;18723,6982163752;19190,3290063295;19138,0357589663;18705,3728921738;19171,0678747497;18493,8836839792;17560,1115436362;17696,2936640085;14490,8228194231;14109,9659281818;13893,1514925792;14648,0383130004;14926,6502947836;18417,3784637725;18459,2531449464;17887,1542308841
BHR;Bahrain;3641,44501521173;4028,62464835057;4553,01490949811;4870,70601848687;4926,68434368298;5087,17122874209;5218,66797983731;4839,42378174034;4911,17589271146;5527,63956751861;5558,63361314238;5700,25494144456;5572,46236319432;5358,08604576647;5499,67789419773;5951,21532453721;5732,12314414048;6068,83266561086;6785,4301072107;6939,88644889616;6774,15293902008;6866,75444627432;7483,55968347167;8259,48765343291;8467,11649673953;8553,45606696673;8782,31186600811;8859,05003711137;9087,85966082038
BHS;Bahamas;374,338088442575;366,544501326547;354,999934188144;344,782453947132;367,799558261152;408,106568635581;460,889426026047;466,056255225867;579,832701718034;628,785433358128;657,305290199664;636,251702780399;609,725502760657;505,867403237306;572,151861736832;548,208228036589;565,789208780656;608,482834805172;643,222431317557;555,709852423643;555,325352351786;607,66849081305;660,354313407584;691,227690048557;640,83186665012;612,617854657641;662,133085840869;664,796372387464;597,337394136801
