GHG emissions from food systems (each GHG is expressed in kt CO2eq, GWP-100 AR5) by sector and country, including LULUC which is reported separately.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reference dataset: EDGAR-FOODv6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country_code_A3;Name;C_group_IM24_sh;dev_country;Substance;FOOD_system_stage;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018
AUT;Austria;11:_OECD_Europe;I;GWP_100_N2O;LULUC (Production);38,2925;38,2925;38,2925;38,2925;38,266;38,213;38,213;37,8685;37,8685;39,5115;40,7305;40,2005;40,8365;40,8895;41,499;42,082;42,082;42,082;42,082;42,2675;42,6385;42,6385;42,6385;42,6385;42,6385;42,6385;42,5325;42,5325;42,5325
AZE;Azerbaijan;16:_Russia +;I;GWP_100_CO2;LULUC (Production);0;0;0;0;0;0;0;0;0;0;0;180,7511;180,7511;180,7511;180,7511;180,7511;180,7511;180,7511;180,7511;180,7511;180,7511;0;0;0;0;0;454,8745;454,8745;454,8745
BDI;Burundi;09:_Eastern_Africa;D;GWP_100_CO2;LULUC (Production);5390,9355;5390,9355;5390,9355;5390,9355;5390,9355;5505,5596;5515,2212;5538,6427;5560,5283;5609,4522;5609,0742;3526,9303;3526,9766;3526,5671;3519,1554;3532,301;3537,5968;3535,5401;3534,0087;3531,6617;3533,6029;3534,8487;3534,8487;3534,282;3534,027;3534,027;3498,415;3491,4288;3475,9987
BDI;Burundi;09:_Eastern_Africa;D;GWP_100_N2O;LULUC (Production);418,1965;418,1965;418,1965;418,1965;418,1965;434,653;438,204;439,9795;442,7885;450,129;450,341;449,493;449,546;449,281;448,274;449,334;449,864;449,917;450,0495;449,7845;449,9435;450,129;450,129;450,3145;450,3145;450,3145;447,1345;446,4455;444,9615
BDI;Burundi;09:_Eastern_Africa;D;GWP_100_CH4;LULUC (Production);1,8256;1,8256;1,8256;1,8256;1,8256;1,8256;9,9624;3,3152;0,5852;0,518;1,4112;0,2324;0,2912;0,0588;0,0588;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BEL;Belgium;11:_OECD_Europe;I;GWP_100_CO2;LULUC (Production);0;0;0;0;0;0;0;0;0;0;1176,3974;219,3869;215,9859;213,2368;211,182;211,1259;211,0688;211,145;211,0666;211,0707;211,0352;2516,1954;2516,1126;2516,1126;2516,037;2516,037;160,2698;159,4408;159,3106
BEL;Belgium;11:_OECD_Europe;I;GWP_100_N2O;LULUC (Production);0;0;0;0;0;0;0;0;0;0;26,7385;26,5265;26,1555;25,811;25,5725;25,599;25,6785;25,811;25,811;25,8375;25,917;25,917;25,9435;25,9435;25,9435;25,9435;25,8375;25,6785;25,6255
BEN;Benin;08:_Western_Africa;D;GWP_100_CO2;LULUC (Production);15058,7287;15058,7287;15058,7287;15058,7287;15058,7287;15058,7287;15058,7287;15058,7287;15058,7287;15058,7287;15058,7287;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10796,016;10753,1747;10753,1747;10753,1747
BEN;Benin;08:_Western_Africa;D;GWP_100_CH4;LULUC (Production);98,994;98,994;98,994;98,994;98,994;98,994;313,7988;199,2116;530,7428;407,3356;420,8008;46,5332;55,6556;28,6412;20,622;103,8716;53,62;38,2844;18,1244;25,0964;3,892;19,2276;5,46;7,2604;1,1032;5,866;6,3896;17,7772;15,8592
BEN;Benin;08:_Western_Africa;D;GWP_100_N2O;LULUC (Production);39,856;39,856;39,856;39,856;39,856;39,856;87,344;55,4645;147,7375;113,3935;117,13;40,2005;48,0975;24,751;17,808;89,7555;46,322;33,072;15,6615;21,677;3,3655;16,6155;4,717;6,2805;0,954;5,0615;5,512;15,37;13,7005
