Country_code_A3;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
AUS;0,469325321322014;0,465372785632399;0,458971409114748;0,455095933779199;0,455798892531086;0,444323184612228;0,440621813808085;0,432843902664385;0,421608585928044;0,417022240499114;0,421296217925498;0,446253112687137;0,437905801841783;0,435562578337487;0,439856474304044;0,438797227593332;0,427479569623211;0,419358223341552;0,416910714766834;0,412004611656172;0,414492103983793;0,356111160125555;0,340203055245357;0,346089600540366;0,351635317738018;0,340484450214255;0,314362967998385;0,322383946350508;0,321258855587387
AUT;0,327206423431654;0,311458623943147;0,331270801221785;0,328030621585972;0,319844782062561;0,306133005553953;0,290908779188049;0,297023214696149;0,296804162219204;0,302188086641204;0,303135564919929;0,246127888321001;0,247631798794593;0,236847738942549;0,230937458654543;0,224390835186693;0,228456939733008;0,233322367429893;0,232903729077967;0,242631287513144;0,234808286250132;0,24414408466086;0,246929719122756;0,246047556346987;0,256879633604199;0,253175333582583;0,253303877993238;0,246407580995047;0,250164691090401
AZE;0,241247316610949;0,223131929775574;0,263097613946908;0,257644717872509;0,262172366350471;0,259579743130869;0,287209431609245;0,294269800413583;0,278217439217592;0,275465001785001;0,28279776423674;0,301290295265163;0,310092055370904;0,299342383641109;0,307916451269195;0,311552480071313;0,298300421778505;0,329268575274261;0,324233800166646;0,371908510989555;0,375620076904609;0,36347518797929;0,356294303933798;0,35446127393332;0,347293273513729;0,348182306151238;0,348037960733363;0,348145614328771;0,34526997862106
BDI;0,77413967466159;0,769891939028209;0,775568024898321;0,77324339462421;0,760288549169153;0,763344486084537;0,795281146242304;0,783405766979339;0,760102375104813;0,807704960938013;0,791461414428962;0,81194297315051;0,615740030828586;0,60560932314932;0,660239815482322;0,722154632853042;0,727464998918337;0,762896522358073;0,728241276728249;0,715587790107172;0,729860905542374;1,46605132701781;1,67821634125394;1,43443555049506;1,55670055703188;1,51696711874154;0,738717385044746;0,785280164188314;0,754578641267294
BEL;0,208910958499741;0,2045501505413;0,209462921626324;0,211296485616771;0,212671040856108;0,214163925807042;0,21296207136098;0,211155346860432;0,202315864956992;0,209259790378215;0,217695318805641;0,203551477668344;0,208656994515433;0,208676695026892;0,209867835621611;0,206451875687167;0,212933017923272;0,217186082728449;0,216052686805932;0,221758213786329;0,218304020962813;0,25058799918721;0,25275894627409;0,247907508794367;0,262833852678129;0,255850390161549;0,233899570681053;0,236703390163836;0,235441466440999
BEN;0,911624264160793;0,913260467559841;0,911118661881633;0,909865967806408;0,909874480294546;0,908187129275693;0,895903883365795;0,884726865548967;0,871132690931041;0,86707403842736;0,885036455197734;0,856232568396941;0,845305325072783;0,834265782703297;0,828260141709896;0,823298003319513;0,78063247150404;0,762657435964899;0,76394673804879;0,754998087059841;0,731212329171581;0,733960049801438;0,740517028963987;0,729460644365538;0,716888603580422;0,707719111869022;0,676123951198616;0,675516427271188;0,664416572032167
BFA;0,70140794357566;0,702882820914249;0,707368797494351;0,709665636129405;0,706838630172767;0,708702155747117;0,712341232483757;0,707397299731849;0,705484415093899;0,731495687072223;0,720691352823313;0,634701170654679;0,640587599904474;0,669976627916305;0,67220614213395;0,671218601790228;0,673263316380395;0,667569829358895;0,665651204095901;0,670289492213897;0,672809871755543;0,880499898978963;0,869732882755807;0,860337107515608;0,869014059317561;0,851364622649849;0,566180035442197;0,564707470364909;0,566279900531873
BGD;0,904589573279166;0,905890123831012;0,898465018364564;0,891172261361206;0,884225088945139;0,872457189530782;0,871526169167367;0,862832296829202;0,855324039570604;0,850972942632689;0,841689763898812;0,823458585126648;0,817380084553079;0,811247504758771;0,797143613335369;0,797203013916412;0,78149323417937;0,774576087956824;0,756295606389728;0,74835520743296;0,724878272245503;0,730285776336857;0,722998354376931;0,712784933640214;0,70550598262092;0,679599580345789;0,655301046156427;0,653673137689822;0,649644510314967
BGR;0,36991806829677;0,396410981828385;0,377725656635703;0,339809509155176;0,365654418634216;0,370468622511298;0,36934378739289;0,360255962382538;0,362644279183092;0,417537442708017;0,449106512426425;0,466846708290474;0,493433795876301;0,432499360229869;0,462888007380675;0,451098223809834;0,430253120329582;0,402907870327218;0,416637038753408;0,4871754460258;0,460785383721853;0,261286504110164;0,279128745765136;0,308409004780773;0,304323854690102;0,293364978549008;0,690321097453534;0,628213907520009;0,682414592894517
BHR;0,139056564058643;0,143529919903006;0,141187630818582;0,142445284665111;0,143996098259453;0,147304715524939;0,14551850581499;0,14390938168732;0,13962254152719;0,148623824716387;0,147164437477155;0,146513059962629;0,14445171994856;0,139700324473937;0,143682934567737;0,141515764367872;0,130850790651197;0,135288161711673;0,139489560315324;0,140867855665339;0,135953900635947;0,136887452118139;0,140602901986675;0,141206462073962;0,140167010210907;0,140861849967322;0,144297974323619;0,145858373528094;0,147360841263601
